trend,macd,turn,n,ret_5d,ret_10d,ret_20d,win_rate_20d
强势空头,中性,very_high,111,3.28,3.68,7.63,71.2
强势空头,金叉,very_high,98,2.17,2.53,6.45,60.2
强势空头,死叉,high,45,0.4,2.35,5.07,64.4
强势空头,死叉,low,38,0.18,4.38,4.96,57.9
弱势多头,死叉,very_high,35,1.61,2.98,4.7,71.4
多头排列,死叉,very_high,37,1.18,1.66,4.41,73.0
弱势多头,金叉,very_low,49,1.7,3.08,4.35,69.4
强势空头,空头,very_high,566,0.66,1.28,3.92,58.0
强势多头,多头,very_high,1341,0.83,1.56,3.9,55.0
弱势多头,死叉,low,45,0.87,1.43,3.72,68.9
强势多头,死叉,very_high,37,1.99,3.22,3.59,48.6
弱势多头,金叉,very_high,49,2.58,2.15,3.58,57.1
多头排列,死叉,very_low,42,1.31,2.24,3.36,50.0
强势空头,死叉,very_low,25,1.1,3.06,3.32,52.0
弱势多头,多头,very_high,80,1.78,1.79,3.15,57.5
强势空头,金叉,normal,129,-0.13,1.5,2.99,55.8
弱势多头,中性,very_high,493,1.55,1.88,2.93,51.9
强势多头,多头,high,1583,0.45,1.26,2.85,51.0
强势空头,金叉,very_low,45,1.19,1.97,2.83,55.6
强势空头,中性,normal,388,0.41,1.07,2.83,58.0
强势多头,死叉,very_low,26,1.36,1.83,2.79,61.5
强势空头,中性,high,194,0.28,0.56,2.6,54.1
弱势多头,多头,high,113,0.84,1.61,2.59,49.6
弱势多头,多头,very_low,67,-0.06,1.47,2.55,61.2
强势空头,死叉,normal,75,-0.24,0.09,2.55,58.7
多头排列,中性,very_high,427,1.89,2.26,2.52,55.0
强势空头,中性,low,269,0.68,1.52,2.47,54.3
弱势多头,多头,low,82,0.74,1.14,2.4,52.4
多头排列,空头,very_high,42,0.27,-0.01,2.13,64.3
强势多头,中性,very_high,52,1.09,1.14,2.12,50.0
强势空头,金叉,low,67,0.57,0.9,1.99,53.7
强势多头,零轴上金叉,high,59,1.52,2.54,1.95,47.5
强势空头,金叉,high,88,0.48,-0.14,1.94,51.1
强势多头,零轴上金叉,very_high,81,0.19,-0.69,1.93,49.4
弱势多头,空头,very_high,235,0.8,0.71,1.92,54.0
强势空头,中性,very_low,194,0.59,1.88,1.91,53.1
强势空头,空头,high,883,0.27,0.23,1.91,53.2
多头排列,死叉,low,52,0.58,1.11,1.73,55.8
多头排列,死叉,high,97,0.95,1.43,1.61,53.6
强势空头,空头,low,1144,-0.06,0.53,1.56,50.1
强势多头,多头,normal,1648,0.39,0.65,1.45,46.4
弱势多头,金叉,low,59,-0.35,-0.05,1.45,59.3
强势空头,空头,normal,1813,-0.09,0.36,1.43,51.8
弱势多头,金叉,normal,74,0.17,0.48,1.43,47.3
多头排列,中性,high,910,0.97,1.4,1.29,50.1
强势多头,死叉,high,100,-0.45,1.22,1.19,43.0
多头排列,多头,very_low,201,0.25,0.2,1.16,55.7
多头排列,多头,high,742,0.36,0.46,1.08,52.8
多头排列,多头,normal,1024,0.31,0.51,1.08,51.6
多头排列,多头,very_high,770,0.21,0.56,1.05,51.0
弱势多头,死叉,high,43,1.02,1.0,1.03,53.5
强势多头,多头,very_low,272,0.14,-0.05,1.03,51.5
弱势多头,多头,normal,181,0.66,0.47,1.01,50.3
弱势多头,中性,high,751,0.31,0.22,0.99,47.0
多头排列,零轴上金叉,very_high,68,0.53,0.55,0.97,51.5
弱势多头,中性,very_low,717,0.2,0.7,0.94,48.5
弱势多头,中性,low,964,0.19,0.74,0.94,48.1
弱势多头,中性,normal,1638,0.33,0.79,0.93,49.0
弱势多头,死叉,very_low,54,0.08,0.11,0.86,46.3
多头排列,零轴上金叉,high,66,0.43,1.14,0.85,50.0
多头排列,多头,low,447,0.0,0.13,0.82,48.8
弱势多头,空头,high,461,-0.0,0.26,0.81,52.3
强势多头,多头,low,556,0.32,0.73,0.75,47.8
多头排列,中性,normal,1924,0.18,0.58,0.68,48.1
多头排列,死叉,normal,167,0.38,0.26,0.66,47.9
强势多头,中性,high,176,1.02,2.24,0.66,50.0
强势空头,空头,very_low,979,-0.19,-0.22,0.62,45.1
多头排列,金叉,high,21,-1.25,-0.11,0.61,61.9
强势空头,死叉,very_high,30,0.49,-0.09,0.51,43.3
多头排列,中性,low,913,0.03,0.24,0.44,46.3
弱势多头,空头,normal,1115,-0.05,-0.1,0.36,49.8
多头排列,零轴上金叉,normal,62,0.4,-0.54,0.32,51.6
多头排列,空头,very_low,116,1.33,0.73,0.3,41.4
强势多头,死叉,normal,151,0.3,-0.23,0.28,45.0
多头排列,空头,normal,186,-0.43,-0.25,0.04,41.9
多头排列,中性,very_low,487,0.03,-0.12,-0.09,43.3
弱势多头,空头,very_low,641,-0.11,-0.16,-0.11,43.4
多头排列,金叉,normal,28,-0.86,-0.07,-0.17,46.4
多头排列,空头,high,57,-0.29,-1.06,-0.19,43.9
弱势多头,空头,low,848,0.03,0.06,-0.21,44.7
弱势多头,金叉,high,58,-0.03,-0.48,-0.32,46.6
强势多头,中性,normal,357,0.14,0.23,-0.42,41.5
强势多头,中性,very_low,53,-0.35,0.27,-0.74,52.8
强势多头,零轴上金叉,normal,44,-0.47,-0.5,-0.87,38.6
强势多头,零轴上金叉,low,19,-0.62,0.21,-0.95,36.8
多头排列,零轴上金叉,low,19,-0.01,-0.31,-1.23,52.6
弱势多头,死叉,normal,95,-0.09,-0.62,-1.35,42.1
多头排列,空头,low,149,0.05,-0.55,-1.56,43.6
强势多头,中性,low,126,-0.68,-1.25,-2.11,42.9
强势多头,死叉,low,56,-0.48,-1.04,-2.18,35.7
