trend,rsi,turn,n,ret_5d,ret_10d,ret_20d,win_rate_20d
强势空头,oversold_cross,very_high,240,1.56,1.38,6.03,66.7
强势空头,neutral,very_high,200,1.6,2.17,4.94,60.0
强势空头,strong,very_high,18,-0.5,4.56,4.7,55.6
强势多头,overbought,very_high,940,0.82,1.38,4.05,55.1
强势空头,oversold,very_high,248,1.01,2.02,3.9,55.2
强势多头,strong,very_high,392,0.92,1.54,3.73,56.9
弱势多头,overbought,very_low,20,2.75,4.37,3.67,70.0
强势多头,overbought,high,809,0.51,1.51,3.65,51.4
弱势多头,oversold_cross,very_high,89,1.11,1.31,3.23,62.9
弱势多头,neutral,very_high,363,1.19,1.8,3.19,53.4
弱势多头,oversold,very_high,90,1.28,0.66,3.1,58.9
弱势多头,strong,very_high,201,1.77,1.97,2.99,51.2
弱势多头,strong,high,162,1.44,1.88,2.99,50.6
弱势多头,overbought,normal,48,0.7,2.06,2.98,64.6
多头排列,weak,very_high,45,0.52,1.59,2.77,57.8
强势空头,oversold_cross,high,353,0.64,0.27,2.7,55.2
强势空头,oversold_cross,normal,674,0.17,0.57,2.33,54.9
弱势多头,strong,normal,211,0.71,1.81,2.32,53.6
强势空头,oversold,high,352,0.18,0.17,2.32,55.4
强势空头,neutral,low,370,0.48,1.91,2.28,55.1
强势空头,oversold_cross,low,396,0.28,0.81,2.24,51.0
强势多头,neutral,very_high,165,0.89,1.75,2.22,44.8
多头排列,overbought,very_low,77,0.81,0.8,2.19,58.4
多头排列,oversold,very_high,18,1.76,1.05,2.1,55.6
多头排列,strong,very_high,333,1.21,1.09,2.08,56.2
多头排列,strong,low,349,0.58,1.23,2.08,55.9
强势多头,strong,high,672,0.57,0.95,2.05,50.0
强势空头,weak,normal,554,-0.24,0.59,2.02,53.2
强势空头,weak,very_high,101,0.23,0.18,1.99,51.5
弱势多头,overbought,low,28,0.46,2.89,1.93,71.4
多头排列,overbought,normal,413,0.81,1.05,1.8,55.9
强势空头,weak,high,212,0.49,0.93,1.76,52.8
