trend,macd,turn,vol,n,ret_5d,ret_10d,ret_20d,win_rate_20d
强势空头,中性,very_high,heavy_up,47,5.88,5.53,10.11,74.5
多头排列,多头,high,shrink_down,14,3.31,4.37,8.08,78.6
强势空头,空头,normal,heavy_up,17,0.65,-0.01,7.46,64.7
强势空头,金叉,very_high,heavy_up,68,2.44,2.07,6.54,60.3
强势空头,中性,very_high,heavy_down,22,2.51,1.66,5.89,63.6
强势空头,中性,low,shrink_down,43,1.27,3.38,5.89,67.4
强势空头,中性,very_high,normal,42,0.77,2.67,5.77,71.4
强势空头,死叉,low,normal,34,0.31,4.97,5.75,58.8
强势多头,中性,high,shrink_down,16,4.82,11.51,5.66,81.2
弱势多头,金叉,very_low,shrink_up,31,1.28,3.38,5.44,74.2
多头排列,死叉,very_high,normal,21,1.94,3.13,5.4,81.0
弱势多头,死叉,very_low,shrink_down,24,0.53,1.99,5.39,70.8
强势空头,金叉,very_high,normal,25,1.46,4.17,5.25,56.0
强势多头,死叉,very_high,normal,19,2.46,4.02,4.96,47.4
强势空头,死叉,high,normal,41,0.47,2.4,4.85,65.9
强势空头,空头,very_high,heavy_up,161,0.53,0.16,4.85,58.4
多头排列,空头,very_high,normal,18,1.35,2.33,4.57,66.7
强势多头,中性,very_high,heavy_down,10,1.63,-0.58,4.56,70.0
多头排列,中性,very_high,heavy_down,89,2.25,4.13,4.44,64.0
强势多头,多头,very_high,normal,525,1.12,2.45,4.35,59.0
强势空头,空头,very_high,normal,199,0.99,1.99,4.33,60.3
强势空头,金叉,very_low,shrink_up,21,1.35,1.97,4.3,52.4
弱势多头,死叉,very_high,normal,14,1.82,4.12,4.28,85.7
弱势多头,多头,very_high,heavy_up,39,1.87,2.02,4.26,59.0
强势多头,多头,high,shrink_down,18,1.38,5.34,4.21,61.1
弱势多头,多头,very_low,shrink_down,42,0.46,2.22,4.13,64.3
强势多头,多头,very_high,heavy_up,533,1.16,1.38,4.11,52.2
强势多头,中性,high,shrink_up,10,3.91,10.59,4.03,70.0
多头排列,死叉,very_low,shrink_up,10,2.31,0.84,3.98,40.0
弱势多头,中性,very_high,heavy_down,75,2.34,3.28,3.88,54.7
多头排列,死叉,low,normal,24,0.31,0.95,3.49,62.5
多头排列,死叉,very_low,shrink_down,29,1.13,3.13,3.47,55.2
弱势多头,死叉,low,normal,34,0.68,1.18,3.25,70.6
弱势多头,中性,normal,heavy_up,11,0.36,1.73,3.24,36.4
弱势多头,多头,high,normal,96,0.93,1.86,3.2,50.0
强势空头,中性,normal,normal,360,0.47,1.29,3.18,58.9
弱势多头,死叉,very_high,heavy_down,18,1.58,1.83,3.17,61.1
弱势多头,金叉,very_high,heavy_up,40,2.19,1.5,3.13,52.5
多头排列,死叉,very_high,heavy_down,16,0.18,-0.26,3.11,62.5
弱势多头,空头,very_high,heavy_up,60,1.01,0.35,3.08,60.0
弱势多头,中性,very_high,heavy_up,254,1.63,1.77,3.02,51.6
强势多头,多头,high,normal,1436,0.47,1.28,2.97,51.1
强势空头,金叉,normal,normal,121,-0.2,1.55,2.88,53.7
弱势多头,空头,high,heavy_up,26,0.65,1.77,2.83,76.9
强势空头,空头,very_high,heavy_down,206,0.45,1.47,2.81,55.3
弱势多头,多头,very_high,heavy_down,10,0.76,1.55,2.81,60.0
强势空头,金叉,high,normal,75,0.47,0.27,2.71,54.7
强势多头,多头,very_high,heavy_down,283,-0.35,0.23,2.69,53.0
强势空头,死叉,normal,normal,70,-0.18,0.15,2.68,58.6
强势空头,中性,very_low,shrink_up,62,-0.35,1.68,2.63,62.9
强势空头,中性,high,normal,171,0.63,0.98,2.61,55.0
强势多头,死叉,very_high,heavy_down,16,2.08,2.86,2.59,56.2
强势多头,多头,high,heavy_up,77,0.19,0.98,2.5,54.5
弱势多头,多头,normal,shrink_down,13,1.19,1.28,2.48,69.2
强势空头,中性,high,heavy_up,14,-2.69,-3.51,2.45,35.7
弱势多头,多头,low,shrink_down,14,1.98,1.94,2.36,78.6
弱势多头,多头,low,normal,59,0.68,1.09,2.35,44.1
弱势多头,中性,very_high,normal,164,1.07,1.41,2.35,51.2
强势多头,多头,very_low,shrink_down,127,0.38,0.6,2.32,58.3
强势多头,零轴上金叉,very_high,heavy_up,57,0.04,-0.99,2.29,49.1
多头排列,中性,very_high,heavy_up,157,2.6,1.94,2.26,51.6
弱势多头,金叉,very_low,normal,10,3.2,3.09,2.24,60.0
强势空头,空头,high,heavy_down,45,-0.3,0.54,2.17,44.4
多头排列,死叉,normal,shrink_up,21,1.14,0.27,2.11,52.4
多头排列,零轴上金叉,high,heavy_up,14,2.23,3.74,2.08,50.0
弱势多头,空头,very_high,heavy_down,86,0.67,0.75,2.07,53.5
强势空头,空头,high,normal,791,0.26,0.23,2.0,54.1
强势空头,金叉,low,normal,59,0.51,0.64,1.97,52.5
多头排列,多头,very_high,normal,233,1.09,1.79,1.95,55.8
多头排列,空头,very_high,heavy_up,11,-0.79,-0.51,1.94,72.7
强势空头,空头,low,shrink_up,129,0.38,1.01,1.92,52.7
多头排列,多头,very_low,shrink_down,91,0.67,0.34,1.91,60.4
强势多头,中性,very_low,normal,12,0.35,1.84,1.9,58.3
强势空头,中性,low,normal,196,0.67,1.21,1.9,52.0
弱势多头,多头,very_high,normal,31,1.98,1.58,1.87,54.8
多头排列,中性,very_high,normal,181,1.1,1.63,1.79,53.6
强势多头,死叉,high,normal,87,-0.41,1.22,1.75,43.7
强势多头,多头,normal,normal,1414,0.4,0.7,1.71,48.2
多头排列,零轴上金叉,very_high,heavy_up,49,0.84,1.14,1.7,55.1
弱势多头,中性,high,heavy_down,15,-0.14,-0.03,1.69,53.3
多头排列,死叉,high,normal,77,1.07,1.58,1.68,54.5
强势空头,中性,very_low,shrink_down,75,0.97,2.2,1.64,48.0
强势空头,空头,low,normal,891,-0.09,0.46,1.58,50.3
强势空头,死叉,very_low,shrink_down,19,0.83,2.0,1.55,52.6
强势多头,中性,very_high,normal,29,0.72,2.23,1.54,44.8
强势多头,中性,very_high,heavy_up,13,1.48,0.03,1.53,46.2
强势空头,空头,normal,normal,1691,-0.07,0.43,1.52,52.4
